version,1
31.00.14033.1012,23.2.2 Recommended (WHQL)
31.00.14001.45012,23.2.1 (WHQL)
31.00.14001.34008,23.1.2 (Optional) for Radeon RX7900
31.00.14000.62003,23.1.1 (WHQL) for Radeon RX7900
31.00.14000.61002,22.12.2 (WHQL) for Radeon RX7900
31.00.14000.59010,22.12.1 (WHQL) for Radeon RX7900
31.00.12029.10015,22.11.2 Recommended (WHQL)
31.00.12029.7019,22.11.1 Optional (WHQL)
31.00.12029.4013,22.10.3 Optional (WHQL)
31.00.12019.1042,22.10.2 Optional (WHQL)
31.00.12019.16007,22.10.1 (Optional)
31.00.12019.15004,22.9.2 (Optional)
31.00.12019.11001,22.9.1 (Optional)
31.00.12019.9007,22.8.2 (Optional)
31.00.12019.5007,22.8.1 (Optional)
31.00.12015.1008,22.7.1 (Optional)
30.00.21023.1015,22.6.1 (Optional)
30.00.21017.1000,22.5.2 (Optional)
30.00.15021.11005,22.5.1 (WHQL)
30.00.15021.7000,22.4.2 (Optional)
30.00.15021.1001,22.4.1 (Optional)
30.00.15019.1005,22.3.2 (Optional)
30.00.15002.1004,22.3.1 (WHQL)
30.00.14029.5006,22.2.3 (Optional)
30.00.14029.1011,22.2.2 (Optional)
30.00.14023.7007,22.2.1 (Optional)
30.00.14023.3004,22.1.2 (WHQL)
30.00.14023.1009,22.1.1 (Optional)
30.00.14011.3017,21.12.1 (Optional) 2021
30.00.13037.1003,21.11.3 (Optional) 2021
30.00.13033.5003,21.11.2 (Optional) 2021
30.00.13033.1000,21.11.1 (Optional) 2021
30.00.13031.5001,21.10.4 (Optional) 2021
30.00.13031.1001,21.10.3 (Optional) 2021
30.00.13025.5005,21.10.2 (WHQL) 2021
30.00.13017.1004,21.10.1 (WHQL) 2021
30.00.13025.1000,21.9.2 (Optional) 2021
30.00.13017.5006,21.9.1 (Optional) 2021
27.20.22025.1006,21.8.2 (WHQL) 2021
27.20.22023.1004,21.8.1 (Optional) 2021
27.20.22021.1002,21.7.2 (Optional) 2021
27.20.22017.1004,21.7.1 (Optional) 2021
27.20.22001.16006,21.6.2 (Optional) 2021
27.20.22001.14011,21.6.1 (WHQL) 2021
27.20.21003.8013,21.5.2 (WHQL) 2021
27.20.21003.1028,21.5.1 (Optional) 2021
27.20.21002.112,21.4.1 (WHQL) 2021
27.20.15003.5017,21.3.2 (Optional) 2021
27.20.15003.1004,21.3.1 (WHQL) 2021
27.20.14535.3005,21.2.3 (Optional) 2021
27.20.14535.1000,21.2.2 (Optional) 2021
27.20.14533.1000,21.2.1 (Optional) 2021
27.20.14527.2002,21.1.1 (Optional) 2021
