version,28
576.15,"Mon Apr 21, 2025"
576.02,"Wed Apr 16, 2025"
572.83,"Tue Mar 18, 2025"
572.70,"Sun Mar 9, 2025"
572.47,"Thu Feb 20, 2025"
572.42,"Thu Feb 13, 2025"
572.24,"HOTFIX Tue Feb 4, 2025"
572.16,"Thu Jan 30, 2025"
566.45,"HOTFIX Mon Dec 23, 2024"
566.36,"Thu Dec 5, 2024"
566.14,"Tue Nov 12, 2024"
566.03,"Tue Oct 22, 2024"
565.90,"Tue Oct 1, 2024"
561.09,"Wed Sep 11, 2024"
560.94,"Tue Aug 20, 2024"
560.81,"Tue Aug 6, 2024"
560.70,"Tue Jul 16, 2024"
556.12,"Thu Jun 27, 2024"
555.99,"Tue Jun 4, 2024"
555.85,"Tue May 21, 2024"
552.44,"Thu May 9, 2024"
552.22,"Tue Apr 16, 2024"
552.12,"Thu Apr 04, 2024"
551.86,"Tue Mar 19, 2024"
551.76,"Tue Mar 05, 2024"
551.61,"Thu Feb 22, 2024"
551.52,"Tue Feb 13, 2024"
551.31,"Wed Jan 31, 2024"
551.23,"Wed Jan 24, 2024"
546.65,"Wed Jan 17, 2024"
546.33,"Tue Dec 12, 2023"
546.31,"HOTFIX Mon Dec 4, 2023"
546.29,"Mon Dec 4, 2023"
546.17,"Tue Nov 14, 2023"
546.01,"Tue Oct 31, 2023"
545.92,"Thu Oct 26, 2023"
545.84,"Tue Oct 17, 2023"
537.58,"Tue Oct 10, 2023"
537.42,"Thu Sep 21, 2023"
537.34,"Tue Sep 12, 2023"
537.13,"Tue Aug 22, 2023"
537.09,"HOTFIX Thu Aug 10, 2023"
536.99,"Tue Aug 8, 2023"
536.67,"Tue Jul 18, 2023"
536.40,"Thu Jun 29, 2023"
536.23,"Wed Jun 14, 2023"
536.09,"HOTFIX Thu Jun 1, 2023"
535.98,"Tue May 30, 2023"
532.03,"Wed May 24, 2023"
531.79,"Tue May 2, 2023"
531.68,"Tue Apr 18, 2023"
531.61,"Thu Apr 13, 2023"
531.58,"HOTFIX Tue Apr 4, 2023"
531.41,"Thu Mar 23, 2023"
531.29,"Tue Mar 14, 2023"
531.26,"HOTFIX Tue Mar 7, 2023"
531.18,"Tue Feb 28, 2023"
528.49,"Wed Feb 8, 2023"
528.24,"Tue Jan 24, 2023"
528.02,"Thu Jan 5, 2023"
